epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,765.983,2.29423,2.2683,1.92726,0.25158,0.2233,0.1693,0.05635,2.40062,2.36804,2.13676,0.0089308,0.0089308,0.0089308
56,779.899,2.26521,2.26519,1.92507,0.23247,0.25854,0.16396,0.05355,2.38142,2.35996,2.09127,0.008911,0.008911,0.008911
57,794.211,2.29635,2.29153,1.93898,0.27737,0.23227,0.15497,0.05212,2.35659,2.38087,2.09658,0.0088912,0.0088912,0.0088912
58,808.037,2.28587,2.2649,1.92969,0.22523,0.24011,0.13967,0.04495,2.43292,2.42339,2.13462,0.0088714,0.0088714,0.0088714
59,822.411,2.30131,2.27365,1.93321,0.2536,0.2298,0.16946,0.05501,2.38434,2.33945,2.07775,0.0088516,0.0088516,0.0088516
60,835.902,2.28502,2.2911,1.92265,0.23628,0.24152,0.15165,0.04837,2.41743,2.42353,2.16141,0.0088318,0.0088318,0.0088318
61,849.547,2.25598,2.25917,1.91829,0.25699,0.24421,0.1799,0.06032,2.37817,2.29623,2.07248,0.008812,0.008812,0.008812
62,863.807,2.28247,2.25453,1.91883,0.23991,0.23203,0.14646,0.05006,2.40277,2.47492,2.09482,0.0087922,0.0087922,0.0087922
63,877.649,2.24909,2.24671,1.90942,0.25605,0.26932,0.16714,0.05514,2.41123,2.39557,2.10686,0.0087724,0.0087724,0.0087724
64,891.647,2.26298,2.2346,1.90026,0.25928,0.26533,0.17799,0.06034,2.312,2.291,2.0466,0.0087526,0.0087526,0.0087526
65,905.446,2.27299,2.24511,1.90316,0.2383,0.22842,0.17638,0.05767,2.41873,2.36005,2.02921,0.0087328,0.0087328,0.0087328
66,919.175,2.24749,2.22077,1.90177,0.23685,0.27309,0.18129,0.06238,2.31061,2.30683,2.00977,0.008713,0.008713,0.008713
